"LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2" "LCMV2"
"Rpl7" 10 3 6 8 3 5 5 4 20 12 10 6 15 7 10 7 10 14 10 12 75 14 5 13 3 9 10 5 25 13 12 10 7 7 10 3 5 3 10 5 23 7 22 8 21 9 6 11 4
"Rpl31" 4 7 1 13 2 5 9 3 14 11 10 3 15 4 3 0 3 17 8 8 95 26 5 5 5 7 8 4 21 5 10 12 9 14 7 4 1 3 7 7 12 7 21 18 12 2 2 15 9
"Rpl37a" 32 19 20 37 19 20 41 15 45 29 28 22 41 11 51 39 34 37 25 26 155 71 20 49 18 32 37 27 56 40 33 27 14 28 36 17 26 14 38 26 35 27 58 35 45 28 15 44 33
"Rpl7a" 7 2 4 6 0 4 3 4 16 5 3 8 13 3 7 6 4 9 5 9 39 14 7 15 3 7 3 13 7 2 6 7 2 3 3 4 3 0 8 4 6 3 9 4 11 1 3 8 2
"Rpl12" 12 0 7 10 3 3 10 1 17 3 15 3 7 5 14 3 11 10 5 8 52 20 5 7 6 5 17 3 22 10 6 3 6 5 7 5 3 2 8 3 17 6 32 10 10 0 2 5 7
"Rpl35" 15 5 2 13 4 16 16 10 40 19 10 15 25 7 15 10 8 25 20 13 118 54 3 12 7 11 16 11 30 19 16 8 13 19 8 7 5 3 14 4 18 12 38 24 24 7 3 18 11
"Rpl39" 24 2 8 19 15 23 21 12 39 13 16 15 39 10 40 11 22 24 27 25 114 59 10 24 13 14 24 27 46 17 9 18 19 28 18 11 13 8 17 17 32 15 85 19 30 12 8 26 20
"Rpl10" 15 7 10 14 6 18 13 5 24 15 23 5 25 7 21 7 14 26 21 13 83 37 12 11 3 17 12 16 33 21 16 12 4 24 6 8 5 3 25 3 17 12 35 6 15 3 2 13 14
"Rpl36a" 13 2 7 14 4 6 7 3 18 5 8 5 12 5 12 4 9 10 8 7 53 37 5 13 5 9 6 6 40 7 10 6 6 8 11 3 3 2 4 6 15 4 24 10 13 4 3 5 11
"Rpl22l1" 4 5 12 3 3 9 2 3 4 8 6 2 19 2 10 2 2 5 7 10 44 14 2 6 3 10 9 4 13 9 16 4 7 6 0 4 4 5 5 6 4 4 14 3 15 4 2 10 4
"Rpl34" 19 12 8 11 5 13 22 12 19 9 12 12 29 3 12 20 22 21 20 23 88 35 20 15 15 12 18 18 29 15 14 15 14 11 19 15 16 6 17 22 18 11 21 18 28 15 6 24 12
"Rpl11" 12 6 15 21 5 11 18 6 26 20 13 10 31 5 19 8 11 18 13 18 93 42 11 26 5 22 13 15 22 15 23 17 3 15 15 9 13 7 16 8 17 11 36 8 22 5 1 12 12
"Rpl22" 4 3 3 2 3 5 5 2 12 2 7 8 10 2 7 4 9 5 6 6 55 13 4 5 4 6 4 6 17 6 3 7 2 7 8 3 8 1 4 7 10 3 15 9 7 4 2 5 14
"Rpl9" 21 8 10 23 9 16 11 7 26 13 15 9 21 7 34 11 14 17 7 12 98 38 14 12 9 9 9 8 35 19 18 13 10 13 20 4 16 11 16 11 19 9 46 13 13 8 2 19 17
"Rpl5" 11 1 6 7 2 7 8 7 8 6 12 4 13 6 8 4 5 4 4 3 43 17 7 2 2 0 6 7 13 4 4 6 4 8 6 8 3 2 7 1 6 4 15 11 9 1 1 1 9
"Rplp0" 28 22 21 16 8 32 23 21 59 36 31 23 74 12 38 22 21 40 36 31 165 71 27 39 5 30 34 32 51 41 31 30 26 45 10 16 14 13 33 36 63 16 68 46 56 14 8 36 36
"Rpl6" 15 8 9 12 10 21 16 10 35 15 16 11 32 9 26 16 21 21 17 26 134 49 14 17 6 16 18 20 26 31 29 15 9 14 13 11 14 8 15 11 28 10 40 19 25 10 4 17 18
"Rpl21" 14 6 9 15 9 11 18 11 26 12 8 15 26 9 28 8 9 29 8 16 87 35 13 13 8 17 20 12 25 19 25 17 10 9 12 7 8 7 16 18 8 14 43 19 22 8 2 21 16
"Rpl32" 25 12 16 23 4 24 27 16 54 30 17 18 36 13 38 13 23 31 24 34 182 51 14 29 16 23 30 26 47 31 35 28 16 32 9 14 23 16 28 24 48 14 74 29 50 18 8 42 26
"Rpl28" 7 5 5 5 2 3 8 2 13 5 8 2 14 8 10 3 4 12 15 17 65 24 7 7 1 13 7 8 11 6 11 8 3 19 2 0 5 0 4 4 14 5 26 5 22 3 0 6 5
"Rpl13a" 26 20 23 37 18 41 56 23 73 53 30 34 51 20 56 31 33 56 30 67 117 58 36 51 20 33 32 56 50 38 38 41 34 16 20 18 38 37 35 37 43 20 53 42 44 33 9 46 23
"Rpl18" 14 4 5 13 9 13 17 9 22 17 11 20 24 9 19 19 12 20 14 13 81 31 10 20 10 11 15 19 23 18 19 12 14 11 8 3 10 7 19 16 25 6 38 19 23 13 7 15 18
"Rpl27a" 12 6 9 17 4 12 6 5 21 15 10 16 27 4 22 17 14 27 12 13 83 44 7 18 5 10 17 16 29 17 10 12 9 19 19 10 10 4 14 12 22 4 59 17 15 9 8 10 15
"Rplp2" 29 9 15 19 13 16 30 9 30 20 16 16 20 14 27 27 13 27 29 13 99 38 8 20 7 16 18 18 38 26 19 10 9 14 21 10 15 2 17 20 16 8 46 13 28 10 7 24 13
"Rpl6l" 2 0 2 1 2 4 3 2 8 6 8 3 10 1 5 4 6 8 1 9 33 9 1 6 2 6 9 4 6 16 6 3 4 3 2 5 5 2 5 0 9 4 9 3 3 1 2 4 5
"Rpl41" 38 13 23 18 10 34 36 28 91 45 28 24 77 16 40 31 18 36 41 34 286 133 20 49 19 49 41 48 75 55 34 32 34 35 26 11 19 13 49 23 54 45 97 26 72 19 6 55 23
"Rpl18a" 53 14 13 36 16 17 34 25 44 22 25 29 54 13 55 31 26 38 22 34 109 64 16 31 13 35 23 24 48 25 22 27 13 17 30 19 37 8 31 34 44 30 101 24 36 39 18 32 18
"Rpl13" 32 12 9 34 19 25 31 9 46 24 31 24 54 15 53 15 42 25 21 29 159 83 21 37 15 25 25 17 72 32 23 22 18 28 35 21 15 10 26 19 41 20 81 23 28 16 11 28 19
"Rpl21-ps4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0
"Rpl15" 5 4 4 4 4 8 6 4 7 9 14 0 15 1 7 5 5 9 6 9 48 19 5 9 2 8 5 5 7 5 7 3 2 10 2 2 1 1 6 3 4 4 15 11 9 6 1 6 3
"Rpl23a-ps3" 6 4 1 13 1 10 8 8 19 8 11 7 19 10 24 8 12 15 11 12 38 24 10 19 8 11 9 10 15 11 17 12 5 9 13 10 8 4 16 9 12 5 22 16 11 4 1 19 7
"Rpl13-ps3" 1 0 1 2 0 1 3 2 4 1 3 3 6 2 7 0 3 3 1 4 11 8 1 4 0 4 3 2 4 5 3 2 3 2 0 3 1 2 5 0 3 2 6 2 2 1 2 0 0
"Rpl10-ps3" 3 2 2 5 3 5 4 1 7 10 12 3 8 3 8 1 4 8 5 6 29 13 5 5 2 1 5 9 12 4 6 3 0 12 6 3 5 0 9 1 8 6 14 2 8 3 1 2 7
"Rplp1" 18 5 15 20 12 18 23 6 34 15 14 15 43 8 21 8 24 31 14 17 153 31 8 12 16 10 23 8 44 27 23 17 12 22 14 17 10 4 22 9 27 14 52 17 19 8 9 13 29
"Rpl4" 15 3 11 14 4 11 12 7 41 9 10 7 26 6 23 11 11 14 7 16 78 38 13 19 6 10 18 33 20 17 17 10 15 15 4 5 18 10 8 16 22 3 35 15 21 10 2 14 13
"Rpl29" 9 6 1 2 4 9 14 2 15 11 3 12 17 12 5 8 5 11 11 12 60 14 21 9 3 2 3 9 10 10 10 9 8 15 5 3 4 2 7 5 12 3 14 5 12 4 3 14 6
"Rpl14" 5 3 8 16 6 17 15 4 30 11 18 12 22 10 14 13 19 8 17 23 102 27 13 13 12 19 17 14 32 21 18 9 12 15 13 11 13 5 14 13 27 13 25 10 19 8 5 9 8
"Rpl26" 18 6 3 15 4 9 16 5 19 8 15 7 24 13 17 9 7 21 11 21 98 44 7 12 7 9 3 10 32 13 13 14 5 15 13 5 13 8 8 7 19 12 40 16 16 5 0 17 15
"Rpl23a" 12 7 4 24 8 18 14 16 32 13 19 12 22 11 34 12 17 21 16 24 75 43 13 28 10 15 17 12 28 16 27 13 8 20 21 14 12 7 23 14 22 7 40 21 25 12 1 29 16
